	Myeloid.cells	T.NK.cells	B.lymphocytes	Fibroblasts	Endothelial.cells	MAST.cells	Epithelial.cells
MYLK	0.009628832	0.002399401	0.002273711	1.68956868	0.348388358	0.004659093	0.079394695
MYO6	0.084907921	0.022639206	0.017612644	0.19809851	0.559706342	0.033957812	1.605368336
MZB1	0.079244562	0.045413169	5.196620627	0.059199918	0.095371774	0.086662644	0.141675248
NAMPT	3.001179877	0.29856755	0.22868051	0.992068565	1.472618017	0.383922686	2.026544369
NAPSA	0.191511579	0.106949969	0.164602441	0.224674353	0.146901838	0.057805868	19.05683894
NBL1	0.060955161	0.085090827	0.022684675	8.762572319	0.258663614	0.024037236	0.627874234
NCAM1	0.004196592	0.008526548	0.001380944	0.024618988	0.009510281	0	0.001461914
NCF1	0.680874007	0.179637278	0.553900823	0.02163941	0.020608969	0.166782113	0.120439007
NCF2	1.839488964	0.007826945	0.036179876	0.013042917	0.014753105	0.005384031	0.097184702
NCOA7	0.21229192	0.096131261	0.091676028	0.321793955	0.709789712	0.083597418	2.491697899
NDRG1	0.321176188	0.090978659	0.065967012	0.499162742	1.019821278	0.060135893	2.720818638
NEAT1	18.81461626	1.684646933	3.131248581	10.71439092	14.57911281	4.506446008	60.52298091
NFE2L2	1.425428006	0.354538874	0.300292314	1.068316061	0.881440809	0.929327308	1.409063829
NFIB	0.009901919	0.002753079	0.004070045	1.525616923	2.179856107	0.002378342	0.720363561
NFKBIA	13.00265198	1.76562362	2.325542593	4.944636715	4.550297369	12.6008668	7.346100996
NFKBID	0.531951791	0.058868121	0.49461968	0.044547813	0.082368412	0.415094783	0.126793095
NFKBIZ	1.439337172	0.192426115	0.170268283	1.582232046	0.70507774	1.390151148	2.13514347
NGFRAP1	0.551923639	0.097893692	0.041794113	2.571370044	1.923941529	0.132446987	3.4911116
NKG7	0.262957793	3.213593398	0.113790658	0.090171383	0.1316531	0.086164199	0.192064007
NKX2-1	0.018568916	0.007737029	0.008071814	0.014532604	0.006630074	0.00272388	2.289417382
NNMT	0.052352902	0.008360893	0.011000715	6.541113077	2.648294298	0.005777973	0.637787707
NOSTRIN	0.004444379	0.000592246	0.00056326	0.006721559	0.901255485	0.000591406	0.08971883
NOTCH4	0.020465191	0.001605892	0.011673471	0.014827397	1.041886347	0.010110997	0.01129692
NPC2	15.73442734	0.374567284	1.568357256	4.556633684	4.167297318	1.744096531	28.14463604
NPDC1	0.034007953	0.058550979	0.003967559	0.610044172	2.655180335	0.007595765	0.315237282
NR3C1	0.63649263	0.690143605	0.278879357	0.546473913	0.414543912	0.235070704	0.61540215
NR4A1	1.010963498	0.10066585	0.809240041	1.645986071	0.540128108	0.855286216	2.099293413
NR4A2	2.599114116	0.98690246	1.565287842	0.747742244	0.585349011	1.625931192	0.892743896
NRN1	0.030704433	0.000822137	0.003225626	0.005063611	1.048644473	0.000211388	0.059226947
NSMCE1	0.435546856	0.190371634	0.140367316	0.485164638	0.388816284	1.311822692	0.563008317
NUPR1	7.095617789	0.051954662	0.093473289	4.616075542	0.824338045	0.048185233	2.638361197
OCIAD2	0.21060881	0.60703559	0.444246887	0.267045007	1.069947796	0.212515081	4.643242294
ODC1	0.310429574	0.252933192	0.632747185	0.313370011	0.496525891	0.180655081	0.962471755
OLFML3	0.105265206	0.003136222	0.007879108	1.509364356	0.018007461	0	0.144203532
OLIG1	0.002761705	7.04E-05	0	0	0	0	0.015581094
OLR1	2.371282917	0.009918412	0.019710612	0.02137854	0.034201378	0.017037789	0.049678408
ORAI2	0.205228408	0.087890485	0.447153908	0.136702794	0.221554413	0.054727795	0.235869992
PALLD	0.115292124	0.006296759	0.004769219	1.623846042	0.086046222	0.079642222	0.263497698
PALMD	0.001285147	0.000583739	0.000316116	0.138542853	1.414104942	0	0.069759476
PBXIP1	0.147700364	0.416679713	0.149883015	0.322459243	0.251014412	0.106814629	0.583650532
PCAT19	0.002573473	0.000380676	0.002160944	0.00167893	1.679708939	0.000422776	0.011416247
PCBD1	0.976556722	0.082095831	0.135995577	0.720947427	0.400419981	0.151297502	2.730182155
PCDH17	0.002232002	0.00018128	0.000460569	0.016396975	3.631108804	0	0.015690213
PCOLCE	0.03080484	0.008662666	0.008392932	5.896302273	0.023340215	0.012783551	0.243004932
PDCD4	0.320847523	0.446089434	0.355758265	0.283634175	0.324713144	0.445903502	0.399836219
PDE4B	0.658659456	0.293739537	0.581098848	0.065333532	0.175881417	0.031970314	0.068498607
PDGFRB	0.007284291	0.005578419	0.002742514	1.459685739	0.004375751	0.0007679	0.003080898
PDLIM1	0.773328275	0.035649336	0.416391405	1.378268304	4.645330609	0.018738739	2.363428434
PDLIM3	0.01098077	0.003352167	0.015162349	2.019706445	0.253774461	0.003225923	0.423454849
PDZK1IP1	0.039119721	0.02210369	0.046412232	0.203078254	0.000627106	0.019927404	2.688741978
PEBP1	2.540371394	0.618377527	0.802693893	3.712243132	1.389395221	1.857652104	3.679095623
PECAM1	0.86210079	0.02301311	0.115299617	0.027186049	4.941592457	0.013877427	0.083192996
PERP	0.052032263	0.160992489	0.083150695	0.491510854	0.17967273	0.059875368	3.04941441
PHACTR1	1.652368142	0.007430299	0.608178157	0.063122793	0.131137729	0.245838267	0.255034267
PHLDA2	0.532233878	0.065423813	0.065376933	0.397384191	0.297402854	0.34242169	3.580402964
PIGR	0.065899559	0.022975074	0.042727367	0.057409827	0.050571747	0.02576481	9.377678802
PIK3IP1	0.17577125	0.446560991	0.191250172	0.220497458	0.108130982	0.050378	0.278530016
PIK3R1	0.216407746	0.34147186	0.077009835	0.594941074	0.217573032	0.097921126	0.170459921
PIM2	0.116102231	0.201386944	0.956297231	0.045758739	0.017673215	0.109703005	0.195092954
PKIG	0.075647286	0.006530067	0.364951781	1.427210729	1.041450726	0.297592925	0.319823396
PLA2G16	0.865814859	0.196853804	0.114742987	0.526609325	0.887845875	0.20169276	2.866411032
PLAC9	0.010278887	0.003578153	0.007088372	2.910994481	0.202437694	0.006534767	0.015619324
PLAT	0.028602309	0.015841622	0.022769582	0.700396445	0.718591753	0.197581414	1.543880973
PLAUR	5.923903198	0.064923321	0.106057712	0.654739161	0.385648128	1.015077919	0.91259484
PLD3	3.615954171	0.102393212	0.210778335	1.478707964	0.514148915	0.272352384	2.954789585
PLEK	2.064513832	0.055655593	0.122132067	0.030110708	0.028937751	0.0811173	0.044918128
PLIN2	3.565220973	0.421882185	0.12367117	0.414755085	0.450598021	1.862605357	0.640699533
PLK2	0.105108852	0.015642243	0.016342721	0.362092308	1.253654887	0.029591263	0.527937028
PLPP3	0.209237618	0.002510309	0.020886928	1.28119632	1.194049289	0.004599492	0.350149781
PLPP5	0.211164679	0.076171849	0.472322592	0.236343608	0.172649308	0.167443848	0.575657785
PLTP	1.605731475	0.013788945	0.050837219	2.05373229	0.249528119	0.02402965	0.562599682
PLVAP	0.014894482	0.001046287	0.001361963	0.002233804	3.649117374	0.002398966	0.009403689
PMP22	1.245781794	0.008650853	0.011402713	3.445897448	0.559997171	0.313222267	0.07323675
PNISR	0.789017217	0.686201641	1.135216313	1.643693218	1.764962638	0.525264693	1.986712337
PODXL	0.004986316	0.001087599	0.000881656	0.013282335	1.896953345	0.001290182	0.09647762
PON2	0.221999036	0.027676406	0.0383075	0.372061594	1.084209489	0.050887835	3.220507045
POSTN	0.00657332	0.002444199	0.002738264	4.006514476	1.748699673	0.002150141	0.013889163
POU2AF1	0.010063269	0.008424263	0.524955346	0.005475566	0.013032301	0.004419429	0.038758994
POU2F2	0.158437901	0.089968059	0.625479941	0.010714307	0.026618664	0.013851938	0.069379186
PPDPF	2.679894342	0.895509588	0.852772704	2.921532732	1.653290322	1.430539056	11.24272432
PPIC	0.378409765	0.009562508	0.011093885	2.14688796	0.673573553	0.008405902	1.188766155
PPP1R14A	0.154110759	0.002039343	0.020489855	2.158795685	0.127302208	0.002383813	0.057817273
PPP1R15A	3.450282899	0.863098227	1.595861401	3.191480563	2.768353952	2.958855091	2.120801445
PPP2R5C	0.49765915	0.680670171	0.355754808	0.274162871	0.333741819	0.15418469	1.082470056
PPT1	2.656131037	0.151982558	0.112158906	0.591732275	0.387282871	0.340943754	0.616956393
PRCP	0.663197479	0.046283766	0.147467904	0.527064578	1.731239205	0.050705256	0.16321977
PRDM2	0.183414525	0.136120732	0.418607762	0.196175806	0.197288058	0.084606872	0.304958672
PRDX1	6.336078599	0.640368477	1.072732998	2.848829502	3.082529133	2.161077043	4.493195101
PRDX4	0.692430011	0.08279541	1.335504685	1.360364913	0.631444334	0.177122332	1.415628404
PRDX5	1.871416338	0.483992224	0.913459189	2.969926658	1.643612927	0.600435732	7.242286265
PRDX6	1.4956912	0.372005169	0.468732564	2.335590252	1.300854306	1.654559277	3.45855435
PRELP	0.00614785	0.001506571	0.002940965	2.133133668	0.020846637	0.001352946	0.006571397
PRKCDBP	0.141391537	0.016440599	0.012814161	2.198650308	1.559255785	0.005559279	0.266906033
PRKCH	0.122948329	0.326386479	0.014881524	0.022832186	0.66498122	0.013363458	0.1197821
PRKX	0.155667379	0.205763297	0.157762506	0.064304996	0.387873376	0.422557844	0.099044575
PRNP	0.92359017	0.255878226	0.177267428	0.944585781	0.339348167	0.67120336	0.463906445
PRPF38B	0.71765396	0.585543976	0.436471234	0.643297224	0.64860329	0.33323779	0.880505895
PRRX1	0.004382334	0.000597296	0.000327548	1.26144762	0.003571716	0.000323428	0.108859308
PRSS23	0.030725317	0.035938604	0.005220937	1.261803666	3.036154005	0.004605829	0.93877095
PSAP	21.18349572	0.415430351	1.299744479	4.935611113	2.728723794	1.295366949	4.953632028
PSMB9	1.735695414	0.987540788	0.919422752	0.893337946	1.84478551	0.495420459	1.112842621
PTGDS	0.756124168	0.14760332	0.04139443	23.27473639	0.606501525	0.025855295	0.656820893
PTGER4	0.846093597	0.396308598	0.074796599	0.307274227	0.034540839	0.199472892	0.077467783
PTGS1	0.251996959	0.001989244	0.013899517	0.056774254	0.042445165	0.65208233	0.014651544
PTGS2	0.581685413	0.01346994	0.019844123	0.322911608	0.153282072	0.631024712	1.458173582
PTMA	22.95753649	10.91576596	13.186357	23.04940836	32.44560346	18.38483078	36.80855001
PTMS	2.054446676	0.205244885	0.079736362	3.973735363	3.246495534	0.24532049	1.837406547
PTPN7	0.199161105	0.49534364	0.351578637	0.019465361	0.015166565	0.409294047	0.02340777
PTPRB	0.001935781	0.000774774	0.003216634	0.003250044	1.745397213	0.069543554	0.016869644
PTPRC	1.505431412	1.459414265	0.549426163	0.046689147	0.092667963	0.319219178	0.102577266
PTRF	0.027116666	0.007756819	0.009884801	2.575008357	4.29141357	0.280658076	0.719719581
PYCARD	3.434481343	0.216295133	0.310742564	0.425507483	0.525980168	0.570343612	0.82546462
RAB11A	0.826748223	0.243907923	0.198789567	0.621333065	2.290794346	0.275029855	1.318039612
RAB13	1.29464997	0.020056731	0.069553136	2.149233278	2.314674012	0.168344091	2.229797059
RAB25	0.027298242	0.009892619	0.014188066	0.023502639	0.019093936	0.009332686	2.370785003
RAB27B	0.005983013	0.011702534	0.006025605	0.027880616	0.008686004	0.49415192	0.625173016
RAB32	1.133362486	0.006845552	0.012505223	0.373047282	0.485127528	0.506171838	0.354058257
RAC2	1.119566156	1.288263751	1.140146731	0.071648306	0.051940391	2.006571882	0.298660019
RALB	0.335534045	0.051481697	0.058931674	0.292501256	0.879087826	0.365205468	0.27855654
RAMP2	0.010050238	0.00193068	0.015541481	0.092424503	8.060399006	0.002737858	0.035993094
RAMP3	0.002671425	0.000470397	0.000321839	0.029634321	3.467265451	0.001628605	0.002318615
RARRES1	0.388069013	0.00499535	0.009740729	2.894020567	0.033218502	0.076947111	0.08635184
RARRES2	0.091624236	0.016527934	0.037594325	16.06379502	0.355656203	0.016664412	0.900092646
RARRES3	0.632706495	1.073531951	0.311141986	1.193595237	0.453450848	0.301251508	2.891651302
RASSF5	0.486465207	0.311976734	0.212315211	0.029582415	0.024543575	0.553724474	0.174022684
RBP7	0.12393244	0.001732337	0.005829853	0.002596873	0.74585881	0.000211388	0.00773938
RDX	0.652619774	0.090528869	0.12018677	0.812457365	3.046340203	0.159668988	1.478853232
REL	2.749626854	1.055893969	1.475374108	0.46473889	0.512947904	2.003487663	1.313704071
RENBP	0.542276744	0.023658445	0.024929008	0.038661114	0.090410679	0.522939548	0.112882896
RETN	2.35768701	0.009727459	0.012077465	0.038327291	0.015285822	0.009888517	0.055684661
RGCC	4.671845639	2.428804574	1.091439956	5.517553986	5.022722145	0.24636096	0.835769111
RGS1	6.196437617	3.669847901	3.3851353	0.332437642	0.221008836	8.932601958	0.514413847
RGS10	2.945210535	0.591634777	0.255471982	0.291181367	0.071905071	1.643886901	0.714026583
RGS13	0.045495699	0.016009397	0.091718401	0.033464704	0.008981084	3.271169075	0.026793024
RGS2	2.423605552	0.748166929	1.681167768	1.401923457	0.180891461	3.819897798	0.596574142
RGS5	0.009898421	0.005549211	0.007826254	1.55580608	1.042726944	0.016895062	0.020483062
RHOB	1.493315327	0.100542359	0.365823168	1.665830352	2.480476446	0.065639944	4.765757882
RHOBTB3	0.111963268	0.00601624	0.025958797	0.761072407	0.127625918	0.374676324	1.055760808
RHOC	0.894612784	0.343111236	0.095236273	2.448945405	3.451538832	0.245114169	1.878466449
RHOH	0.233102627	0.713507236	0.959156701	0.068225944	0.033096975	0.771246362	0.079594536
RNASE1	2.253904758	0.062042874	0.130091783	0.166730166	4.876030297	0.075399537	14.11996901
RNASE6	1.371158043	0.015896969	0.24979557	0.016673598	0.046287329	0.009253279	0.056425255
RNF130	2.396669905	0.03513414	0.03563175	0.413415116	0.33468866	0.583305884	0.700416134
ROBO4	0.006582853	0.000476483	0	0.002049862	1.035541576	0.000591406	0.003343647
RORA	0.0929165	0.670705904	0.101898092	0.371903735	0.265549072	0.018017314	0.268413749
RP1-313I6.12	0.11692182	0.092461037	0.482762342	0.035029119	0.026487783	0.094527826	0.34280849
RP11-1143G9.4	2.463542064	0.013730467	0.019117373	0.041937437	0.031459265	0.0210734	0.035225662
RP11-138A9.1	0.456751753	0.597251822	0.579541673	0.186808845	0.328378357	0.10501963	0.446973766
RP11-138A9.2	0.22367926	0.467327675	0.373974638	0.125387238	0.135698076	0.098005818	0.104181877
RP11-354E11.2	0.008221892	0.000811162	0.001897227	0.047308386	0	1.578401215	0.016005805
RPL11	26.52586734	13.81873388	23.34123032	29.76947352	23.05437666	18.15358704	46.52645807
RPL13A	39.88287586	25.14402984	41.84979169	57.52061994	38.55139197	21.46095182	66.48716942
RPL17	1.21203241	0.756539717	1.156615142	1.63200058	1.155389442	0.699277186	1.60218209
RPL18	14.65043897	8.037335629	14.45797909	17.39938284	13.54226864	7.670626454	25.30610251
RPL18A	23.53446096	12.5755456	22.62270466	26.53686799	18.86171791	12.55154187	39.62257097
RPL19	26.35125509	13.87761797	23.42229762	27.87844732	23.44902823	14.65434918	47.92246267
RPL21	30.70338294	18.96406235	30.65847643	33.50329266	23.58312093	21.19555298	41.85413333
RPL22	10.73875222	4.333630291	7.272244938	10.94007049	8.976474041	5.459785871	19.53383576
RPL22L1	1.244842143	0.463516562	1.151388351	1.243355095	0.915780258	0.534452796	1.47031543
RPL23A	20.84977006	15.34769836	24.8703377	26.50548599	19.19155163	11.72137002	51.54886498
RPL26	24.5937265	11.66210888	18.07841238	24.00207556	21.59807817	15.67253202	31.51259636
RPL3	19.28875566	13.1827669	22.33586438	35.44757127	27.49915109	13.43755281	32.92834925
RPL30	19.77657396	12.50958468	19.21416885	20.36150188	15.67127326	12.23046586	36.33928804
RPL31	13.51119499	9.250971277	12.95057244	16.96362227	13.7006998	9.129146624	29.63283616
RPL32	27.90139884	15.36584027	25.50285087	32.10929956	28.88710287	18.90020722	44.7134272
RPL34	24.38359494	14.96965006	23.50613506	30.29003233	27.19631564	21.97491518	44.78252116
RPL35A	14.69418874	9.194343378	14.40748818	19.83036539	16.66042208	10.56133281	30.65644449
RPL36A	3.358640531	1.808167291	2.617020129	3.474118137	3.301860776	1.839995077	7.286769719
RPL37	15.61829615	7.696172853	12.87415077	16.32453216	14.03412885	7.207084545	38.32005441
RPL39	23.2131367	10.74652556	18.88595633	20.15525454	15.30585528	10.83580533	42.51659824
RPL4	8.37403804	4.518705365	7.156462495	10.75678555	6.800240436	4.438733999	11.55475472
RPL41	32.2057352	17.36393067	26.81903149	36.52749402	25.12683845	17.38859412	63.51180086
RPL5	10.53735848	6.224105751	10.62594902	18.82858301	12.5875457	7.480347973	18.95000365
RPL8	20.36911378	8.284079666	16.90584197	22.89896172	17.7072682	10.25400563	54.75680387
RPL9	22.8616945	11.22329289	19.10411713	24.78068465	19.18758099	11.84790336	33.57882356
RPLP2	29.84781596	17.41387305	30.41146926	25.73926805	21.44474286	12.81566873	60.02452231
RPS10	8.888976216	4.671709973	7.275300638	8.569448421	7.203932428	3.285902982	14.68875856
RPS11	17.02633818	6.599262169	14.36472267	17.02721571	12.66498045	7.582680689	25.26485109
RPS13	19.81493722	8.037962878	13.43058982	17.86290447	15.04063747	9.130844875	28.60904769
RPS15A	22.69207462	15.85336046	22.46194263	24.42410816	20.43606024	11.65601768	38.4643233
RPS17	18.35070247	9.648359585	16.02252554	22.46795902	17.65989531	9.453715001	32.81218556
RPS18	38.29511821	22.30049717	38.65326954	50.26356787	43.37720723	23.64238844	98.29267162
RPS20	23.71661757	10.36124532	17.47504456	21.64824165	16.58399216	10.72657967	40.60427003
RPS21	6.723175367	3.589312006	5.79933246	5.505661733	5.191577702	2.854843833	14.3641016
RPS23	27.70099562	11.56094717	24.33549459	30.03556076	25.42947136	13.40263279	46.34474699
RPS25	17.58014813	11.12552034	16.73206588	17.07168644	14.44933317	11.69158601	33.40967818
RPS26	6.706386473	4.384895789	4.771506166	6.698651765	6.656472199	3.520126395	10.30367289
RPS27	28.32959135	23.93089508	34.17822431	31.35481047	19.41228148	17.7205665	68.97800387
RPS27A	26.52042987	17.3827125	25.34298683	32.24918617	26.70970888	18.68837726	45.86145426
RPS28	17.9771422	8.454343795	14.15801732	16.04678186	21.30898388	8.092914088	31.42617585
RPS29	18.48623633	13.05958631	18.53933086	13.17579629	11.86393819	9.894670531	33.84826046
RPS3A	23.30977533	11.46468038	18.36612132	26.27430586	20.6771623	11.56465821	32.56059987
RPS5	12.80107587	6.268036227	13.36565751	17.33000889	12.00323681	7.055518187	24.96565569
RPS6	24.65250258	15.55819576	25.31528111	33.74748113	31.98760354	17.43444466	49.60576297
RPS8	19.3691909	10.17437166	20.34934789	25.25025098	20.3826888	10.77540323	39.17794948
RPSA	10.42536454	6.821843259	10.62165537	12.03318309	7.326989588	5.503312123	13.64564331
RUNX3	0.378133253	0.554641319	0.228314536	0.036700859	0.033611445	0.163420748	0.069483556
S100A10	17.19655807	1.728852466	0.857058251	7.277702584	8.207285005	1.053906591	29.06559244
S100A11	27.09239962	1.44289898	0.854152169	5.996663327	4.101910571	2.690018453	22.64535423
S100A13	0.798292605	0.061624884	0.088176669	3.931263551	2.362145603	0.122717641	7.124805555
S100A14	0.041320837	0.022288758	0.021054294	0.072144484	0.02234601	0.022780891	5.81258913
S100A16	0.058638442	0.024439432	0.032804415	1.547599065	3.314466303	0.020054735	3.655546019
S100A2	0.117414276	0.054953588	0.098862458	0.125520897	0.051411617	0.051274117	6.780974886
S100A6	29.4333096	3.864543198	2.72263079	21.67214161	13.11423947	9.009242618	121.540909
S100A8	4.78235075	0.02738798	0.048611912	0.061513587	0.040272999	0.024109217	0.280991252
S100A9	10.9535753	0.109308694	0.15717511	0.240503637	0.278024871	0.101170305	6.181720664
SAMHD1	1.730219836	0.111957066	0.023688605	0.286537419	0.2132188	0.014735373	0.188833173
SAMSN1	0.964439546	1.05902314	0.59839094	0.047052215	0.039500492	2.99374599	0.104080211
SARAF	3.124226359	2.728001863	1.804763369	1.945419819	1.558252783	2.237380034	2.273896835
SAT1	22.32283201	1.726007202	4.237544148	6.533996612	6.635119602	5.587560168	28.2583936
SCGB1A1	0.220843004	0.077050916	0.130184181	0.161687178	0.149352573	0.069768188	15.69554196
SCGB3A1	0.435582943	0.181481321	0.307242203	0.352425061	0.404989574	0.163247208	39.51674992
SCGB3A2	0.605520167	0.284404607	0.347995402	0.49957107	0.383739395	0.242901287	62.56152247
SDC1	0.046083072	0.021228104	0.351023918	0.239965722	0.043277651	0.021092138	4.111898627
SDC4	0.261420671	0.03957349	0.034954025	0.187897837	0.094444729	0.024110399	3.938633504
SDCBP	4.48111363	0.566269361	0.421895815	1.292150102	2.107304161	2.216044383	1.362424119
SDPR	0.013834782	0.003234346	0.003340625	0.532945546	1.815030404	0.388437618	0.206158048
SEC11C	0.811519399	0.320509719	2.070023287	0.275581128	0.649870367	0.256096012	1.786017377
SEL1L3	0.14804506	0.067351454	0.325442223	0.058022071	0.111910099	0.008525	0.589555185
SELENBP1	0.022145379	0.006575837	0.012025838	0.462004938	0.096668291	0.010292013	2.350943003
SELK	2.242654154	1.038592137	2.114068503	1.323711995	1.477518272	3.6993013	2.073718629
SELM	0.323482485	0.194172543	0.722916276	6.057322482	1.210693879	0.212671353	2.736329705
SELP	0.001260741	0.001164574	0.004312816	0.006230549	0.584811149	0	0.000181023
SEPP1	2.250825787	0.028121868	0.044256873	7.271381203	1.08161781	0.040202611	1.899889859
SEPT1	0.095760106	0.443555209	0.297605627	0.180317433	0.033334588	0.084959614	0.131973429
SEPT2	0.767618357	0.179004754	0.236772792	1.073492794	1.099957171	0.831136975	1.45099636
SEPW1	1.366132961	0.380636315	0.253869496	1.869197229	3.087289256	0.51967025	6.951901176
SERPINA1	6.6336306	0.107071423	0.17099953	0.250055268	0.21049136	0.102633014	16.16177674
SERPINB6	0.924398497	0.042793254	0.107277464	0.706296164	1.874395802	0.341572758	0.837321773
SERPINF1	0.929939349	0.012275609	0.026713759	9.608372272	0.030693589	0.10562732	0.456402746
SERPING1	1.819763562	0.016703448	0.039591668	7.362614007	1.111293052	0.025832005	0.658009098
SERPINH1	0.124684338	0.016621576	0.01012497	3.237139577	1.947586591	0.014123401	1.334878197
SFN	0.027450523	0.011997033	0.010483502	0.029788591	0.03446532	0.011512421	2.111047595
SFRP2	0.019186053	0.008252617	0.010275079	10.33204993	0.006489387	0.006933242	0.028881965
SFRP4	0.010042405	0.002202927	0.00311896	3.049746608	0.003337129	0.005525677	0.0135995
SFTA1P	0.025181506	0.014962356	0.01819344	0.534073768	0.031943515	0.009855171	2.264009635
SFTA2	0.112925553	0.056365929	0.0762704	0.120338377	0.097404902	0.061616734	13.70523275
SFTA3	0.034193633	0.018212638	0.016770543	0.033616223	0.028410278	0.017942614	4.289635135
SFTPA1	0.444139145	0.174298786	0.239627796	0.300943185	0.29224555	0.154473024	46.50476579
SFTPA2	0.548769377	0.247245868	0.33423206	0.316880272	0.36055318	0.199306167	51.99296094
SFTPB	0.491453116	0.205381056	0.326383313	0.333457016	0.377126524	0.171567899	62.00416453
SFTPC	1.417896413	0.547882703	0.837648788	1.072592958	0.984150781	0.547522241	199.1997753
SFTPD	0.064063698	0.026399574	0.055049691	0.030598192	0.041708471	0.04613115	7.066113858
SGK1	2.536720846	0.065648307	0.216877004	0.248420734	0.742158712	0.695438943	0.907694267
SH3BP5	0.494900072	0.082495582	0.267880336	0.327538471	1.732826077	0.005065613	0.26043319
SKAP1	0.051919106	0.361539958	0.045723759	0.013532351	0.02034552	0.311918058	0.041639045
SLA	0.560919154	0.425796476	0.060599369	0.032941734	0.023701605	0.059915591	0.033396943
SLC11A1	1.435275214	0.00892399	0.008481122	0.025331397	0.027131058	0.026375526	0.057221867
SLC18A2	0.022438323	0.001321353	0.001581854	0.007859997	0.003182886	1.597516355	0.011657868
SLC22A31	0.031512738	0.012414941	0.031860838	0.023574903	0.010112851	0.009931057	1.744753328
SLC34A2	0.083208992	0.033057141	0.037824894	0.045591105	0.033818685	0.030710593	11.27226314
SLC38A1	0.120820566	0.356931429	0.211350424	0.067169817	0.151313906	0.011331671	0.435150552
SLC45A3	0.011820491	0.00037611	0.005064992	0.013959925	0.021526557	0.460346834	0.026633962
SLC7A7	1.601939224	0.005368176	0.064269674	0.170309946	0.055613581	0.010084615	0.057055985
SLC9A3R2	0.039172467	0.007525929	0.016904979	0.647856669	3.968940303	0.023701809	1.478212728
SLCO2A1	0.002699138	0.000778284	0.000622591	0.011661938	0.914552514	0.000802794	0.154839924
SLPI	0.21481177	0.094274059	0.137061225	2.326855062	0.451097881	0.093163709	22.34109599
SMAP2	0.516829953	0.246122266	0.509653965	0.092552911	0.069511154	0.05194759	0.230230638
SMARCB1	0.382745703	0.128915995	0.60512586	0.594750286	0.456553811	0.120923311	0.674823514
SMDT1	1.517603193	0.538193485	1.26627762	1.282362272	1.056592278	0.586056183	2.178805684
SMIM14	0.580191766	0.043752666	1.008921491	0.588844702	0.313533638	0.131583173	1.754658863
SMIM22	0.042322873	0.023167458	0.031127849	0.040377781	0.022359203	0.010340123	3.276760619
SMYD3	0.051537822	0.035755977	0.04520352	0.401926403	0.094228564	0.614387099	0.314238438
SNCG	0.016252973	0.006121049	0.005207956	0.111337746	1.358107542	0.004990221	1.144218379
SNX10	2.103337834	0.08429577	0.185764964	0.088865128	0.08593709	0.153590536	0.135132854
SOCS1	0.185107682	0.237916922	0.138484843	0.379228459	0.039980748	0.478120466	0.220858866
SOCS3	1.321663189	0.326815482	0.461975576	3.700508671	6.884911889	0.170618608	1.780316433
SOD2	7.488478819	0.204450711	0.237514689	2.639206792	1.774793527	0.167551817	2.676607017
SOD3	0.023095248	0.008773988	0.009713212	4.505188874	0.009897973	0.004898498	1.10724395
SOX18	0.000833271	0.000377731	0.000275703	0.001444535	0.834998931	0	0.004795552
SOX4	0.364506478	0.105432628	0.092988481	2.69841443	2.743771599	0.260488998	10.07541046
SPARC	0.336384781	0.016665161	0.032333486	25.02105523	9.219848874	0.034120246	0.214735882
SPARCL1	0.032841598	0.009186044	0.012764147	7.944160619	12.51585639	0.005955999	0.044912995
SPI1	4.436878621	0.019148263	0.188621821	0.043823414	0.041494583	0.270887869	0.087661958
SPINT1	0.274473402	0.016599704	0.020390253	0.033144918	0.015528345	0.036802284	1.791548166
SPINT2	1.366733284	0.11373271	0.400620387	0.8502643	0.167769026	0.639896335	8.631974477
SPOCK2	0.078470599	0.793636889	0.110902074	0.065073693	0.14654355	0.021645445	0.363900674
SPON2	0.030318992	0.162732043	0.023986539	1.83278932	0.03288018	0.007556121	0.228677151
SPP1	20.622491	0.076576852	0.153745859	0.222745767	0.428117098	0.121118876	0.457607242
SPTBN1	0.050772106	0.061692534	0.076901788	1.521169202	2.340824842	0.063279755	1.115742759
SRGN	19.49505294	5.948157199	2.421251943	1.069483946	3.343821502	16.01604219	0.776986747
SRSF2	1.774678207	1.310976758	1.037137299	1.662516525	1.559001503	0.977266429	2.157734012
SRSF5	2.221594788	1.536372069	1.497066636	1.783721758	1.99292033	1.804008973	2.449375009
SRSF7	1.417123592	1.482001337	1.171856983	1.788511027	1.491627218	0.940962868	2.319561582
SSPN	0.077781632	0.001287688	0.139555719	1.23412546	0.008464156	0.003285863	0.13512651
SSR4	3.226667057	1.163942605	11.54490161	3.728235572	2.530916674	1.963779654	8.160877002
STAT4	0.075717056	0.34132682	0.029603041	0.028039774	0.012045488	0.017257837	0.041928809
STEAP4	0.026210362	0.007550012	0.008196033	0.147756873	0.019145105	0.008699889	2.546845363
STK17A	0.319377316	0.76156127	0.747144944	0.220032256	0.183860025	0.142692581	1.099092644
STK17B	0.704931154	0.784029338	0.595189957	0.216313173	0.068522884	0.802827409	0.576934799
STK4	0.736597725	0.794370806	0.891204398	0.220855224	0.317605074	0.507540186	0.336651315
STMN1	1.621141724	0.394423721	0.221471662	0.496086915	1.598479188	1.210494229	1.433576288
